sentence	label
The GLUT9 Gene Is Associated with Serum Uric Acid Levels in Sardinia and Chianti Cohorts.	1
High serum uric acid levels elevate pro-inflammatory-state gout crystal arthropathy and place individuals at high risk for cardiovascular morbidity and mortality.	0
Genome-wide scans in the genetically isolated Sardinian population identified variants associated with serum uric acid levels as a quantitative trait.	0
They mapped within GLUT9, a Chromosome 4 glucose transporter gene predominantly expressed in liver and kidney.	1
SNP rs6855911 showed the strongest association (p = 1.84 x 10-16), along with eight others (p = 7.75 x 10-16 to 6.05 x 10-11).	0
"Individuals homozygous for the rare allele of rs6855911 (minor allele frequency = 0.26) had 0.6 mg/dl less uric acid than those homozygous for the common allele; the results were replicated in an unrelated cohort from Tuscany."	0
Our results suggest that polymorphisms in GLUT9 could affect glucose metabolism and uric acid synthesis and/or renal reabsorption, influencing serum uric acid levels over a wide range of values.	1
High serum uric acid levels lead to gout and increase the risk of cardiovascular and kidney disease.	0
To determine what genetic factors might contribute to uric acid levels, we conducted genome-wide scans of single nucleotide variations in DNA in population samples from Sardinia and Chianti.	0
We report here that variants in the GLUT9 gene are associated with altered uric acid levels in both populations.	1
Unexpectedly, rather than being directly involved in uric acid synthesis or secretion, the GLUT9 gene encodes a glucose transporter.	1
It is of interest that the gene is predominantly expressed in liver, a major site of uric acid synthesis, and in kidney, where uric acid is excreted and reabsorbed.	0
However, it now remains to be determined how altered glucose uptake can indirectly affect synthesis or excretion/reabsorption of uric acid, and whether GLUT9 may provide a target for the therapeutic modification of uric acid levels.	1
Serum uric acid (UA) levels are frequently elevated in conjunction with several disorders, including obesity, hyperlipidemia, atherosclerosis, and hyperinsulinemia.	0
Most widely discussed have been findings of high serum UA in individuals at risk of cardiovascular disease.	0
High UA levels are causal in gout crystal arthropathy, and according to some authors, are associated with a negative cardiovascular risk profile.	0
Elevated UA is a risk factor for all-cause and cardiovascular mortality in patients with prevalent cardiovascular disease, and an important prognostic factor in hypertension.	0
Identifying factors that affect UA levels could help our understanding of their role in pathology, improve clinical decisions about whether to treat moderate hyperuricemia, and help identify new targets for intervention aimed at managing undesirably high UA levels.	0
UA levels in humans are generally higher than in other species because the gene for the primary enzyme that transforms UA in other species, uricase, is inactivated.	1
Consequently, UA levels are determined by the balance between the production of UA through purine catabolism (the two important contributors being dietary purine levels and purines released from the DNA and RNA of damaged cells) and the rate of excretion/reabsorption in the kidney and intestine.	0
Several metabolic defects that may increase serum UA levels have been described.	0
Changes in the level of UA synthesis can result from mutations or variation in activity of enzymes involved in purine metabolism.	0
In one relevant instance, a microRNA has been reported that seems to modulate the synthesis of UA through its repression of phosphoribosyl pyrophosphate synthetase 1.	0
Tissue ischemia can also stimulate UA production by the upregulation of xanthine oxidase.	0
